# ===================
# INPUT TAG LIST FILE
# ===================
#
# each line must not contain whitespaces and must be in the form:
# XBRL_tag_name,desired_name_in_output_file

VariazioniEsercizioAmmortamentoEsercizioAttrezzatureIndustrialiCommerciali,v2079
VariazioniEsercizioAmmortamentoEsercizioAvviamento,v2080
VariazioniEsercizioAmmortamentoEsercizioConcessioniLicenzeMarchiDirittiSimili,v2081
VariazioniEsercizioAmmortamentoEsercizioCostiImpiantoAmpliamento,v2082
VariazioniEsercizioAmmortamentoEsercizioCostiSviluppo,v2083
VariazioniEsercizioAmmortamentoEsercizioDirittiBrevettoIndustrialeDirittiUtilizzazioneOpereIngegno,v2084
VariazioniEsercizioAmmortamentoEsercizioImmobilizzazioniImmaterialiCorsoAcconti,v2085
VariazioniEsercizioAmmortamentoEsercizioImmobilizzazioniMaterialiCorsoAcconti,v2086
VariazioniEsercizioAmmortamentoEsercizioImpiantiMacchinario,v2087
VariazioniEsercizioAmmortamentoEsercizioTerreniFabbricati,v2088
VariazioniEsercizioAmmortamentoEsercizioTotaleImmobilizzazioni,v2089
VariazioniEsercizioAmmortamentoEsercizioTotaleImmobilizzazioniImmateriali,v2090
VariazioniEsercizioAmmortamentoEsercizioTotaleImmobilizzazioniMateriali,v2091
VariazioniEsercizioDecrementiAlienazioniDismissioniDelValoreBilancioAltreImmobilizzazioniImmateriali,v2108
VariazioniEsercizioDecrementiAlienazioniDismissioniDelValoreBilancioAltreImmobilizzazioniMateriali,v2109
VariazioniEsercizioDecrementiAlienazioniDismissioniDelValoreBilancioAttrezzatureIndustrialiCommerciali,v2110
VariazioniEsercizioDecrementiAlienazioniDismissioniDelValoreBilancioAvviamento,v2111
VariazioniEsercizioDecrementiAlienazioniDismissioniDelValoreBilancioConcessioniLicenzeMarchiDirittiSimili,v2112
VariazioniEsercizioDecrementiAlienazioniDismissioniDelValoreBilancioCostiImpiantoAmpliamento,v2113
VariazioniEsercizioDecrementiAlienazioniDismissioniDelValoreBilancioCostiSviluppo,v2114
VariazioniEsercizioDecrementiAlienazioniDismissioniDelValoreBilancioDirittiBrevettoIndustrialeDirittiUtilizzazioneOpereIngegno,v2115
VariazioniEsercizioDecrementiAlienazioniDismissioniDelValoreBilancioImmobilizzazioniImmaterialiCorsoAcconti,v2117
VariazioniEsercizioDecrementiAlienazioniDismissioniDelValoreBilancioImmobilizzazioniMaterialiCorsoAcconti,v2118
VariazioniEsercizioDecrementiAlienazioniDismissioniDelValoreBilancioImpiantiMacchinario,v2119
VariazioniEsercizioDecrementiAlienazioniDismissioniDelValoreBilancioTerreniFabbricati,v2120
VariazioniEsercizioDecrementiAlienazioniDismissioniDelValoreBilancioTotaleImmobilizzazioni,v2121
VariazioniEsercizioDecrementiAlienazioniDismissioniDelValoreBilancioTotaleImmobilizzazioniImmateriali,v2122
VariazioniEsercizioDecrementiAlienazioniDismissioniDelValoreBilancioTotaleImmobilizzazioniMateriali,v2123
VariazioniEsercizioDirittiBrevettoIndustrialeDirittiUtilizzazioneOpereIngegno,v2124
VariazioniEsercizioIncrementiAcquisizioniAltreImmobilizzazioniImmateriali,v2131
VariazioniEsercizioIncrementiAcquisizioniAltreImmobilizzazioniMateriali,v2132
VariazioniEsercizioIncrementiAcquisizioniAttrezzatureIndustrialiCommerciali,v2134
VariazioniEsercizioIncrementiAcquisizioniAvviamento,v2135
VariazioniEsercizioIncrementiAcquisizioniConcessioniLicenzeMarchiDirittiSimili,v2136
VariazioniEsercizioIncrementiAcquisizioniCostiImpiantoAmpliamento,v2137
VariazioniEsercizioIncrementiAcquisizioniCostiSviluppo,v2138
VariazioniEsercizioIncrementiAcquisizioniDirittiBrevettoIndustrialeDirittiUtilizzazioneOpereIngegno,v2139
VariazioniEsercizioIncrementiAcquisizioniImmobilizzazioniImmaterialiCorsoAcconti,v2141
VariazioniEsercizioIncrementiAcquisizioniImmobilizzazioniMaterialiCorsoAcconti,v2142
VariazioniEsercizioIncrementiAcquisizioniImpiantiMacchinario,v2143
VariazioniEsercizioIncrementiAcquisizioniTerreniFabbricati,v2150
VariazioniEsercizioIncrementiAcquisizioniTotaleImmobilizzazioni,v2151
VariazioniEsercizioIncrementiAcquisizioniTotaleImmobilizzazioniImmateriali,v2152
VariazioniEsercizioIncrementiAcquisizioniTotaleImmobilizzazioniMateriali,v2153
VariazioniEsercizioRiclassificheDelValoreBilancioAltreImmobilizzazioniImmateriali,v2164
VariazioniEsercizioRiclassificheDelValoreBilancioAltreImmobilizzazioniMateriali,v2165
VariazioniEsercizioRiclassificheDelValoreBilancioAttrezzatureIndustrialiCommerciali,v2167
VariazioniEsercizioRiclassificheDelValoreBilancioAvviamento,v2168
VariazioniEsercizioRiclassificheDelValoreBilancioConcessioniLicenzeMarchiDirittiSimili,v2169
VariazioniEsercizioRiclassificheDelValoreBilancioCostiImpiantoAmpliamento,v2170
VariazioniEsercizioRiclassificheDelValoreBilancioCostiSviluppo,v2171
VariazioniEsercizioRiclassificheDelValoreBilancioDirittiBrevettoIndustrialeDirittiUtilizzazioneOpereIngegno,v2172
VariazioniEsercizioRiclassificheDelValoreBilancioImmobilizzazioniImmaterialiCorsoAcconti,v2174
VariazioniEsercizioRiclassificheDelValoreBilancioImmobilizzazioniMaterialiCorsoAcconti,v2175
VariazioniEsercizioRiclassificheDelValoreBilancioImpiantiMacchinario,v2176
VariazioniEsercizioRiclassificheDelValoreBilancioTerreniFabbricati,v2183
VariazioniEsercizioRiclassificheDelValoreBilancioTotaleImmobilizzazioni,v2184
VariazioniEsercizioRiclassificheDelValoreBilancioTotaleImmobilizzazioniImmateriali,v2185
VariazioniEsercizioRiclassificheDelValoreBilancioTotaleImmobilizzazioniMateriali,v2186
VariazioniEsercizioRivalutazioniEffettuateEsercizioAltreImmobilizzazioniImmateriali,v2189
VariazioniEsercizioRivalutazioniEffettuateEsercizioAltreImmobilizzazioniMateriali,v2190
VariazioniEsercizioRivalutazioniEffettuateEsercizioAttrezzatureIndustrialiCommerciali,v2192
VariazioniEsercizioRivalutazioniEffettuateEsercizioAvviamento,v2193
VariazioniEsercizioRivalutazioniEffettuateEsercizioConcessioniLicenzeMarchiDirittiSimili,v2194
VariazioniEsercizioRivalutazioniEffettuateEsercizioCostiImpiantoAmpliamento,v2195
VariazioniEsercizioRivalutazioniEffettuateEsercizioCostiSviluppo,v2196
VariazioniEsercizioRivalutazioniEffettuateEsercizioDirittiBrevettoIndustrialeDirittiUtilizzazioneOpereIngegno,v2197
VariazioniEsercizioRivalutazioniEffettuateEsercizioImmobilizzazioniImmaterialiCorsoAcconti,v2199
VariazioniEsercizioRivalutazioniEffettuateEsercizioImmobilizzazioniMaterialiCorsoAcconti,v2200
VariazioniEsercizioRivalutazioniEffettuateEsercizioImpiantiMacchinario,v2201
VariazioniEsercizioRivalutazioniEffettuateEsercizioTerreniFabbricati,v2208
VariazioniEsercizioRivalutazioniEffettuateEsercizioTotaleImmobilizzazioni,v2209
VariazioniEsercizioRivalutazioniEffettuateEsercizioTotaleImmobilizzazioniImmateriali,v2210
VariazioniEsercizioRivalutazioniEffettuateEsercizioTotaleImmobilizzazioniMateriali,v2211
VariazioniEsercizioSvalutazioniEffettuateEsercizioAltreImmobilizzazioniImmateriali,v2216
VariazioniEsercizioSvalutazioniEffettuateEsercizioAltreImmobilizzazioniMateriali,v2217
VariazioniEsercizioSvalutazioniEffettuateEsercizioAttrezzatureIndustrialiCommerciali,v2219
VariazioniEsercizioSvalutazioniEffettuateEsercizioAvviamento,v2220
VariazioniEsercizioSvalutazioniEffettuateEsercizioConcessioniLicenzeMarchiDirittiSimili,v2221
VariazioniEsercizioSvalutazioniEffettuateEsercizioCostiImpiantoAmpliamento,v2222
VariazioniEsercizioSvalutazioniEffettuateEsercizioCostiSviluppo,v2223
VariazioniEsercizioSvalutazioniEffettuateEsercizioDirittiBrevettoIndustrialeDirittiUtilizzazioneOpereIngegno,v2224
VariazioniEsercizioSvalutazioniEffettuateEsercizioImmobilizzazioniImmaterialiCorsoAcconti,v2226
VariazioniEsercizioSvalutazioniEffettuateEsercizioImmobilizzazioniMaterialiCorsoAcconti,v2227
VariazioniEsercizioSvalutazioniEffettuateEsercizioImpiantiMacchinario,v2228
VariazioniEsercizioSvalutazioniEffettuateEsercizioTerreniFabbricati,v2235
VariazioniEsercizioSvalutazioniEffettuateEsercizioTotaleImmobilizzazioni,v2236
VariazioniEsercizioSvalutazioniEffettuateEsercizioTotaleImmobilizzazioniImmateriali,v2237
VariazioniEsercizioSvalutazioniEffettuateEsercizioTotaleImmobilizzazioniMateriali,v2238
VariazioniEsercizioTotaleVariazioniAltreImmobilizzazioniImmateriali,v2248
VariazioniEsercizioTotaleVariazioniAltreImmobilizzazioniMateriali,v2249
VariazioniEsercizioTotaleVariazioniAttrezzatureIndustrialiCommerciali,v2250
VariazioniEsercizioTotaleVariazioniAvviamento,v2251
VariazioniEsercizioTotaleVariazioniConcessioniLicenzeMarchiDirittiSimili,v2252
VariazioniEsercizioTotaleVariazioniCostiImpiantoAmpliamento,v2253
VariazioniEsercizioTotaleVariazioniCostiSviluppo,v2254
VariazioniEsercizioTotaleVariazioniDirittiBrevettoIndustrialeDirittiUtilizzazioneOpereIngegno,v2255
VariazioniEsercizioTotaleVariazioniImmobilizzazioniImmaterialiCorsoAcconti,v2257
VariazioniEsercizioTotaleVariazioniImmobilizzazioniMaterialiCorsoAcconti,v2258
VariazioniEsercizioTotaleVariazioniImpiantiMacchinario,v2259
VariazioniEsercizioTotaleVariazioniTerreniFabbricati,v2260
VariazioniEsercizioTotaleVariazioniTotaleImmobilizzazioni,v2261
VariazioniEsercizioTotaleVariazioniTotaleImmobilizzazioniImmateriali,v2262
VariazioniEsercizioTotaleVariazioniTotaleImmobilizzazioniMateriali,v2263
